93	0
93	0
94	427
93	0
93	0
94	416
93	0
93	0
94	374
94	0
0	0
1	91
2	85
3	94
4	85
5	83
6	90
7	89
8	92
9	85
10	83
11	100
12	88
13	96
14	87
15	89
16	90
17	83
18	85
19	96
20	87
21	92
22	83
23	87
24	92
25	84
26	90
27	84
28	84
29	93
30	86
31	92
32	84
33	86
34	87
35	85
36	93
37	87
38	85
39	93
40	95
41	91
42	86
43	87
44	94
45	88
46	90
47	90
48	86
49	93
50	87
51	92
52	86
53	85
54	90
55	86
56	89
57	86
58	88
59	90
60	85
0	0
1	86
0	0
1	81
2	83
3	83
4	85
5	86
6	88
7	88
8	86
9	85
10	85
11	83
12	84
13	81
14	83
15	84
16	82
17	90
18	87
19	83
20	88
21	86
22	85
23	84
24	85
25	84
26	86
27	85
28	83
29	86
30	88
31	85
32	84
33	92
34	84
35	92
36	84
37	87
38	92
39	88
40	94
41	84
42	88
43	92
44	83
45	85
46	92
47	85
48	91
49	83
50	88
51	90
52	86
53	89
54	84
55	88
56	90
57	83
58	90
59	86
60	82
61	437
62	89
63	92
64	83
65	85
66	94
67	88
68	89
69	86
70	83
71	92
72	87
73	91
74	86
75	82
76	91
77	84
78	92
79	88
80	85
81	91
82	87
83	94
84	85
85	84
86	94
87	87
88	93
89	87
90	85
91	91
92	86
93	93
94	92
95	464
96	93
97	86
98	83
99	94
100	86
101	96
102	82
103	87
104	90
105	87
106	93
107	85
108	84
109	92
110	84
111	91
112	85
113	88
114	90
115	85
116	94
117	86
118	84
119	93
120	94
121	92
122	87
123	90
124	91
125	87
126	94
127	87
128	92
129	93
130	88
131	95
94	0
95	774
96	408
97	432
94	0
95	0
96	481
97	414
98	435
99	441
100	510
101	519
102	501
103	519
104	521
95	0
96	418
97	0
98	418
99	413
100	416
101	389
102	394
103	408
104	481
105	429
106	378
107	387
108	379
109	376
110	398
111	371
112	411
113	383
114	401
0	0
1	88
2	90
3	89
4	90
0	0
1	422
2	397
3	402
4	538
5	517
6	1020
7	434
8	468
9	443
10	406
11	440
12	485
13	425
14	462
15	391
16	456
17	444
18	456
18	0
19	447
20	376
21	433
22	395
23	417
24	423
25	387
26	400
27	0
28	395
29	414
30	437
31	407
32	388
33	452
34	392
35	485
36	393
37	415
38	420
39	0
40	439
41	369
42	375
43	408
44	387
45	564
46	479
47	500
48	481
49	469
50	443
51	469
52	395
53	419
54	415
55	540
56	461
57	450
58	458
59	472
60	479
61	509
62	470
63	498
64	523
65	385
66	418
67	444
68	406
69	459
70	395
71	0
72	506
73	483
74	468
75	538
76	451
77	432
78	432
79	482
80	438
81	409
82	465
83	438
84	445
85	1704
86	470
87	421
88	458
89	473
90	423
91	400
92	415
93	392
94	429
95	429
96	438
97	418
98	437
99	469
100	423
101	411
102	429
103	416
104	452
105	408
106	411
107	394
108	431
109	467
110	415
111	381
112	393
