
EX		0
EX	1	0
EX	2	0
EX	3	51
EX	4	59
EX	5	53
EX	6	78
EX	7	52
EX	8	176
EX	9	51
EX	10	53
EX	11	55
EX	12	60
EX	13	50
EX	14	0
EX	15	76
EX	16	78
EX	17	65
EX	18	52
EX	19	0
EX	20	55
EX	21	66
EX	22	244
EX	23	58
EX	24	51
EX	25	138
EX	26	55
EX	27	58
EX	28	52
EX	29	52
EX	30	223
EX	31	55
EX	32	52
EX	33	58
EX	34	52
EX	35	55
EX	36	64
EX	37	57
EX	38	207
EX	39	57
EX	40	54
EX	41	51
EX	42	51
EX	43	57
EX	44	65
EX	45	65
EX	46	184
EX	47	54
EX	48	54
EX	49	58
EX	50	51
EX	51	52
EX	52	54
EX	53	58
EX	54	0
EX	55	51
EX	56	53
EX	57	53
EX	58	278
EX	59	51
EX	60	54
EX	61	50
EX	62	61
EX	63	61
EX	64	51
EX	65	50
EX	66	174
EX	67	55
EX	68	53
EX	69	57
EX	70	56
EX	71	52
EX	72	52
EX	73	64
EX	74	194
EX	75	53
EX	76	54
EX	77	52
EX	78	52
EX	79	61
EX	80	62
EX	81	53
EX	82	170
EX	83	52
EX	84	60
EX	85	50
EX	86	55
EX	87	55
EX	88	0
EX	89	0
EX	90	82
EX	91	71
EX	92	0
EX	93	60
EX	94	68
EX	95	63
EX	96	62
EX	97	254
EX	98	71
EX	99	62
EX	100	84
EX	101	61
EX	102	63
EX	103	72
EX	104	68
EX	105	0
EX	106	53
EX	107	58
EX	108	55
EX	109	202
EX	110	53
EX	111	53
EX	112	59
EX	113	52
EX	114	52
EX	115	51
EX	116	59
EX	117	181
EX	118	59
EX	119	51
EX	120	51
EX	121	52
EX	122	57
EX	123	52
EX	124	51
EX	125	283
EX	126	52
EX	127	54
EX	128	58
EX	129	53
EX	130	52
EX	131	51
EX	132	60
EX	133	0
EX	134	58
EX	135	57
EX	136	57
EX	137	51
EX	138	76
EX	139	53
EX	140	62
EX	141	148
EX	142	55
EX	143	54
EX	144	58
EX	145	53
EX	146	52
EX	147	52
EX	148	57
EX	149	171
EX	150	59
EX	151	52
EX	152	50
EX	153	50
EX	154	60
EX	155	52
EX	156	53
EX	157	173
EX	158	54
EX	159	52
EX	160	59
EX	161	53
EX	162	52
EX	163	52
EX	164	60
EX	165	267
EX	166	57
EX	167	63
EX	168	52
EX	169	55
EX	170	280
EX	171	52
EX	172	53
EX	173	185
EX	174	51
EX	175	51
EX	176	60
EX	177	63
EX	178	51
EX	179	53
EX	180	59
EX	181	0
EX	182	61
EX	183	55
EX	184	52
EX	185	52
EX	186	62
EX	187	53
EX	188	52
EX	189	372
EX	190	52
EX	191	55
EX	192	53
EX	193	52
EX	194	54
EX	195	54
EX	196	53
EX	197	168
EX	198	52
EX	199	53
EX	200	51
EX	201	52
EX	202	53
EX	203	54
EX	204	62
EX	205	0
EX	206	52
EX	207	53
EX	208	49
EX	209	53
EX	210	52
EX	211	52
EX	212	51
EX	213	167
EX	214	57
EX	215	51
EX	216	58
EX	217	58
EX	218	0
EX	219	51
EX	220	52
EX	221	202
EX	222	50
EX	223	52
EX	224	292
EX	225	54
EX	226	52
EX	227	57
EX	228	62
EX	229	197
EX	230	59
EX	231	50
EX	232	50
EX	233	67
EX	234	52
EX	235	51
EX	236	54
EX	237	236
EX	238	52
EX	239	51
EX	240	59
EX	241	53
EX	242	53
EX	243	60
EX	244	52
EX	245	263
EX	246	57
EX	247	52
EX	248	51
EX	249	60
EX	250	51
EX	251	52
EX	252	52
EX	253	399
EX	254	51
EX	255	56
EX	256	54
EX	257	62
EX	258	52
EX	259	58
EX	260	53
EX	261	184
EX	262	58
EX	263	52
EX	264	52
EX	265	58
EX	266	52
EX	267	277
EX	268	51
EX	269	173
EX	270	62
EX	271	57
EX	272	51
EX	273	54
EX	274	52
EX	275	55
EX	276	52
EX	277	0
EX	278	0
EX	279	56
EX	280	50
EX	281	0
EX	282	0
EX	283	45
EX	284	42
EX	285	45
EX	286	46
EX	287	45
EX	288	51
EX	289	210
EX	290	54
EX	291	51
EX	292	54
EX	293	54
EX	294	50
EX	295	45
EX	296	63
EX	297	0
EX	298	65
EX	299	69
EX	300	69
EX	301	0
EX	302	56
EX	303	60
EX	304	0
EX	305	56
EX	306	63
EX	307	55
EX	308	64
EX	309	158
EX	310	64
EX	311	72
EX	312	63
EX	313	54
EX	314	64
EX	315	54
EX	316	54
EX	317	297
EX	318	63
EX	319	73
EX	320	63
EX	321	64
EX	322	313
EX	323	65
EX	324	66
EX	325	0
EX	326	72
EX	327	66
EX	328	65
EX	329	69
EX	330	0
EX	331	74
EX	332	55
EX	333	190
EX	334	54
EX	335	51
EX	336	45
EX	337	54
EX	338	36
EX	339	51
EX	340	56
EX	341	159
EX	342	0
EX	343	45
EX	344	67
EX	345	46
EX	346	45
EX	347	45
EX	348	188
EX	349	59
EX	350	67
EX	351	288
EX	352	63
EX	353	54
EX	354	68
EX	355	72
EX	356	178
EX	357	72
EX	358	63
EX	359	63
EX	360	69
EX	361	72
EX	362	63
EX	363	63
EX	364	259
EX	365	72
EX	366	68
EX	367	64
